,discount,column,profit,quantity,sales,shipping_cost,order_year,order_month,order_quarter,order_day_of_week,is_weekend,order_week,profit_margin,sales_per_unit
discount,1.0,,-0.31649017182727013,-0.019874695147659355,-0.08672801716320752,-0.07905545343700875,-0.005893935798481428,2.667258182616898e-05,0.0004661677170899121,-0.01575328177920574,-0.007436361058442439,-0.0017329661520971958,-0.8464443501464501,-0.11544078802017294
column,,,,,,,,,,,,,,
profit,-0.31649017182727013,,1.0,0.10436502716960509,0.4849231008085612,0.35444082723433984,0.0026262698456355526,0.00013954896254743114,0.000487134199625197,0.00696400585613062,0.0027522920953993116,0.0006886129899643811,0.3572904276710869,0.4186531508203575
quantity,-0.019874695147659355,,0.10436502716960509,1.0,0.3135799831662372,0.27264873193332617,-0.005049262846442417,0.020611380754642555,0.02249565117943676,0.002175241267069087,0.0018051616289815075,0.019271082487874496,0.05044439086429302,-0.010164163025426835
sales,-0.08672801716320752,,0.4849231008085612,0.3135799831662372,1.0,0.7680750733747047,-0.0029015294916530966,0.001813422723392203,0.002370798287865268,0.005616448382153659,0.0035076759219224616,0.0030368151958179448,0.0745846612250397,0.809082939127858
shipping_cost,-0.07905545343700875,,0.35444082723433984,0.27264873193332617,0.7680750733747047,1.0,-0.003136550220743045,0.004928502930214016,0.005970481961869837,0.004101257656651961,0.0037091007976181502,0.005991030886402832,0.06766763309529614,0.6315346776836014
order_year,-0.005893935798481428,,0.0026262698456355526,-0.005049262846442417,-0.0029015294916530966,-0.003136550220743045,1.0,-0.0141925774981689,-0.0116954555494595,0.004219032090317664,-0.006047258333750098,-0.019744867758993416,0.006110510862016812,0.0016060887120243597
order_month,2.667258182616898e-05,,0.00013954896254743114,0.020611380754642555,0.001813422723392203,0.004928502930214016,-0.0141925774981689,1.0,0.9700960424472145,0.0009242189832191465,-0.007426266784002612,0.9478625060635516,0.01186741435122717,-0.0013351067752539899
order_quarter,0.0004661677170899121,,0.000487134199625197,0.02249565117943676,0.002370798287865268,0.005970481961869837,-0.0116954555494595,0.9700960424472145,1.0,0.0019511538078984903,-0.008777435386571357,0.9251842682797257,0.011329359063951787,-0.0014977865836856138
order_day_of_week,-0.01575328177920574,,0.00696400585613062,0.002175241267069087,0.005616448382153659,0.004101257656651961,0.004219032090317664,0.0009242189832191465,0.0019511538078984903,1.0,0.5919003137453174,0.01623957024449487,0.012673145514163289,0.006970422740845244
is_weekend,-0.007436361058442439,,0.0027522920953993116,0.0018051616289815075,0.0035076759219224616,0.0037091007976181502,-0.006047258333750098,-0.007426266784002612,-0.008777435386571357,0.5919003137453174,1.0,-0.00493887661956859,0.01092505761074538,0.0033404016471357853
order_week,-0.0017329661520971958,,0.0006886129899643811,0.019271082487874496,0.0030368151958179448,0.005991030886402832,-0.019744867758993416,0.9478625060635516,0.9251842682797257,0.01623957024449487,-0.00493887661956859,1.0,0.012550409710778853,0.0006516795066588327
profit_margin,-0.8464443501464501,,0.3572904276710869,0.05044439086429302,0.0745846612250397,0.06766763309529614,0.006110510862016812,0.01186741435122717,0.011329359063951787,0.012673145514163289,0.01092505761074538,0.012550409710778853,1.0,0.08940163788268561
sales_per_unit,-0.11544078802017294,,0.4186531508203575,-0.010164163025426835,0.809082939127858,0.6315346776836014,0.0016060887120243597,-0.0013351067752539899,-0.0014977865836856138,0.006970422740845244,0.0033404016471357853,0.0006516795066588327,0.08940163788268561,1.0
