order_date,sales,profit
2011-01,98902,8321.80096
2011-02,91152,12417.90698
2011-03,145726,15303.56826
2011-04,116927,12902.32438
2011-05,146762,12183.8287
2011-06,215214,23415.24702
2011-07,115518,5585.00352
2011-08,207570,23713.66772
2011-09,290230,35776.88394
2011-10,199070,25963.41834
2011-11,298499,32709.17772
2011-12,333941,40647.984000000004
2012-01,135775,10401.63764
2012-02,100521,15000.09618
2012-03,163092,17992.917559999998
2012-04,161060,17366.96722
2012-05,208370,29876.70374
2012-06,256181,34407.15362
2012-07,145247,15585.38842
2012-08,303158,43573.87858
2012-09,289390,27776.18034
2012-10,252942,30662.882700000002
2012-11,323512,31820.7218
2012-12,338245,32950.7513
2013-01,199197,26810.55968
2013-02,167247,23762.4961
2013-03,198591,23433.77462
2013-04,177835,19462.03844
2013-05,260525,28495.6941
2013-06,396513,45478.4134
2013-07,229940,28863.8272
2013-08,326491,31023.66846
2013-09,376626,38905.667779999996
2013-10,293423,42433.22258
2013-11,373996,48062.9967
2013-12,405476,50202.871119999996
2014-01,241267,28001.38626
2014-02,184848,19751.69996
2014-03,263110,37357.26052
2014-04,242781,23782.3012
2014-05,288404,33953.557740000004
2014-06,401843,43778.6028
2014-07,258718,28035.87258
2014-08,456633,53542.89496
2014-09,481186,67979.4511
2014-10,422785,58209.83476
2014-11,555312,62856.5879
2014-12,503154,46916.52068
