,discount,column,profit,quantity,sales,shipping_cost,order_year,order_month,order_quarter,order_day_of_week,is_weekend,order_week,profit_margin,sales_per_unit
count,51290.0,51290.0,51290.0,51290.0,51290.0,51290.0,51290.0,51290.0,51290.0,51290.0,51290.0,51290.0,51290.0,51290.0
mean,0.14,1.0,28.61,3.48,246.5,26.38,2012.78,7.52,2.79,2.34,0.11,30.68,-inf,71.66
std,0.21,0.0,174.34,2.28,487.57,57.3,1.1,3.3,1.07,1.67,0.31,14.54,,113.58
min,0.0,1.0,-6599.98,1.0,0.0,0.0,2011.0,1.0,1.0,0.0,0.0,1.0,-inf,0.0
25%,0.0,1.0,0.0,2.0,31.0,2.61,2012.0,5.0,2.0,1.0,0.0,20.0,0.0,12.0
50%,0.0,1.0,9.24,3.0,85.0,7.79,2013.0,8.0,3.0,2.0,0.0,33.0,16.92,29.5
75%,0.2,1.0,36.81,5.0,251.0,24.45,2014.0,10.0,4.0,4.0,0.0,44.0,33.31,82.0
max,0.85,1.0,8399.98,14.0,22638.0,933.57,2014.0,12.0,4.0,6.0,1.0,52.0,58.28,3773.0
skewness,1.39,0.0,4.16,1.36,8.14,5.86,-0.34,-0.36,-0.33,0.16,2.52,-0.35,,5.92
kurtosis,0.72,0.0,291.41,2.28,176.72,50.02,-1.22,-0.98,-1.16,-1.04,4.33,-0.98,,100.94
