State,Avg_Shipping_Days,Order_Count,Avg_Discount,Total_Profit,Total_Sales,Profit_Margin_%
District of Columbia,5.7,4,0.0,1059.5892999999999,2865.02,36.9836615451201
Wyoming,5.0,1,0.2,100.196,1603.136,6.25
Maine,5.0,3,0.0,454.4862,1270.53,35.771386744114665
Montana,4.6,8,0.06666666666666667,1833.3285,5589.352,32.8003765016052
New Mexico,4.513513513513513,22,0.05945945945945946,1157.1161,4783.522,24.18962638825535
Oklahoma,4.484848484848484,34,0.0,4853.956,19683.39,24.66016270571279
Minnesota,4.48314606741573,44,0.0,10823.1874,29863.15,36.24261807612392
New Jersey,4.423076923076923,61,0.004615384615384615,9772.9138,35764.312,27.325882292940516
South Dakota,4.416666666666667,5,0.0,394.8283,1315.56,30.01218492505093
Nevada,4.384615384615385,23,0.06153846153846155,3316.7659,16729.102,19.82632361258841
Tennessee,4.371584699453552,91,0.29125683060109286,-5341.6936,30661.873,-17.42128929958062
Iowa,4.366666666666666,17,0.0,1183.8119,4579.76,25.848775918388732
Utah,4.3584905660377355,26,0.06037735849056604,2546.5335,11220.056,22.696263726312953
Indiana,4.3355704697986575,73,0.0,18382.9363,53555.36,34.325110129032836
Oregon,4.330645161290323,56,0.2887096774193548,-1190.4705,17431.15,-6.829558003918272
Delaware,4.270833333333333,44,0.0062499999999999995,9977.3748,27451.069,36.34603373733824
Mississippi,4.2075471698113205,26,0.0,3172.9762,10771.34,29.457580950930897
Arkansas,4.133333333333334,27,0.0,4008.6871,11678.13,34.32644695683299
Illinois,4.119918699186992,276,0.3900406504065041,-12607.887,80166.101,-15.72720494414466
Alabama,4.114754098360656,34,0.0,5786.8253,19510.64,29.659843552031102
Michigan,4.098039215686274,117,0.007058823529411765,24463.1876,76269.614,32.07461834014264
Missouri,4.075757575757576,30,0.0,6436.2105,22205.15,28.985215141532482
Arizona,4.071428571428571,108,0.30357142857142855,-3427.9246,35282.001,-9.715788512108483
New York,4.057624113475177,562,0.055319148936170216,74038.5486,310876.271,23.816082315269405
Maryland,4.019047619047619,46,0.005714285714285714,7031.1788,23705.523,29.660509072084167
Wisconsin,4.0,53,0.0,8401.8004,32114.61,26.161925678063657
North Carolina,4.0,136,0.2835341365461847,-7490.9122,55603.164,-13.472097019514933
Washington,3.972332015810277,256,0.06403162055335967,33402.6517,138641.27,24.092863329944976
Kansas,3.9583333333333335,14,0.0,836.4435,2914.31,28.701253469946575
Florida,3.947780678851175,200,0.2993472584856397,-3399.3017000000004,89473.708,-3.79921853691366
Texas,3.931979695431472,487,0.3701928934010152,-25729.3563,170188.0458,-15.118192455324614
Vermont,3.909090909090909,6,0.0,2244.9782999999998,8929.369999999999,25.141508303497336
Pennsylvania,3.8790459965928448,288,0.32862010221465077,-15559.9603,116511.914,-13.354823353086449
California,3.867066466766617,1021,0.07276361819090454,76381.38709999999,457687.6315,16.68854079575449
Massachusetts,3.8666666666666667,62,0.015555555555555557,6785.5016000000005,28634.434,23.696999214302615
Kentucky,3.856115107913669,61,0.0,11199.6966,36591.75,30.607163090040785
Virginia,3.84375,115,0.0,18597.9504,70636.72,26.329011879373788
Georgia,3.8369565217391304,91,0.0,16250.0433,49095.84,33.09861548351144
New Hampshire,3.7037037037037037,17,0.011111111111111112,1706.5028,7292.524,23.40071558214961
Colorado,3.681318681318681,79,0.31648351648351647,-6527.8579,32108.118,-20.33086430042396
Idaho,3.6666666666666665,11,0.08571428571428572,826.7231,4382.486,18.864249651909898
Connecticut,3.597560975609756,45,0.007317073170731707,3511.4918,13384.357,26.23579003459038
South Carolina,3.5952380952380953,20,0.0,1769.0566,8481.71,20.85731061307213
Nebraska,3.5,23,0.0,2037.0942000000002,7464.93,27.288858703296615
Ohio,3.4541577825159915,236,0.3249466950959488,-16971.3766,78258.136,-21.68640535982099
Rhode Island,3.25,25,0.02142857142857143,7285.6293000000005,22627.956,32.19746980239842
Louisiana,3.0476190476190474,21,0.0,2196.1023,9217.03,23.82657211704855
West Virginia,3.0,2,0.075,185.9216,1209.824,15.367656783135397
North Dakota,2.857142857142857,2,0.0,230.1497,919.91,25.01871922253264
